Ian Book,45,728,1141,63.8,8948,72,20,147
Chase Litton,34,728,1198,60.8,8335,72,31,133.9
Kevin Hogan,50,727,1103,65.9,9385,75,29,154.6
Kirk Cousins,43,723,1128,64.1,9131,66,30,146.1
Kyle Shurmur,44,722,1264,57.1,8865,64,29,128.2
Brian Lewerke,41,721,1249,57.7,8293,47,32,120.8
Brad Kaaya,38,720,1188,60.6,9968,69,24,146.2
Trace McSorley,46,720,1215,59.3,9899,77,25,144.5
Matt Grothe,42,717,1148,62.5,8669,52,44,133.2
Matt Schaub,38,716,1069,67,7502,56,26,138.4
Matt Schilz,41,714,1224,58.3,8012,51,39,120.7
Andrew Luck,38,713,1064,67,9430,82,22,162.8
Taylor Kelly,39,712,1125,63.3,8819,79,26,147.7
Will Rogers,21,712,976,73,6425,46,15,140.7
Josh Rosen,30,712,1170,60.9,9340,59,26,140.1
Jay Cutler,45,710,1242,57.2,8697,59,36,125.9
McKenzie Milton,38,710,1157,61.4,9464,75,27,146.8
Manny Wilkins,39,704,1114,63.2,8624,52,23,139.5
Jacory Harris,47,703,1170,60.1,8826,70,48,135
Darian Durant,44,701,1159,60.5,8755,68,38,136.7
Jose Fuentes,32,700,1259,55.6,9077,60,41,125.4
James Morgan,42,699,1221,57.2,8654,65,34,128.8
Jimmy Clausen,35,695,1110,62.6,8148,60,27,137.2
Darrell Hackney,41,695,1247,55.7,9886,71,33,135.8
Christian Hackenberg,38,693,1235,56.1,8457,48,31,121.4
Logan Thomas,45,693,1248,55.5,9003,52,39,123.6
Logan Kilgore,39,692,1135,61,7849,53,36,128.1
Cody Hawkins,39,691,1253,55.1,7731,63,43,116.7
Joel Klatt,37,690,1128,61.2,7708,46,33,126.2
Jordan Love,38,689,1125,61.2,8600,60,29,137.9
Gary Nova,46,689,1245,55.3,9258,73,51,129
Garrett Grayson,37,688,1113,61.8,9190,64,27,145.3
Chandler Harnish,47,687,1110,61.9,8944,68,26,145.1
Sam Howell,35,687,1071,64.1,9931,90,22,165.7
James Pinkney,39,687,1189,57.8,8173,46,35,122.4
A.J. McCarron,49,686,1026,66.9,9019,77,15,162.5
Chase Rettig,46,685,1242,55.2,8253,52,39,118.5
Dave Ragone,36,684,1179,58,8557,74,29,134.8
Jalen Hurts,56,682,1047,65.1,9477,80,20,162.6
Jeff Rowe,43,682,1123,60.7,7862,55,33,129.8
Josh Freeman,35,680,1151,59.1,8078,44,34,124.7
Nate Davis,39,678,1124,60.3,9233,74,22,147.1
Rex Grossman,35,677,1110,61,9164,77,36,146.7
Levi Lewis,54,674,1096,61.5,8560,72,18,145.5
Connor Cook,42,673,1170,57.5,9194,71,22,139.8
Brian Johnson,41,673,1017,66.2,7853,57,27,144.2
Nathan Stanley,44,673,1155,58.3,8297,68,23,134.1
Chuckie Keeton,39,672,1068,62.9,7393,62,24,135.7
Adrian Martinez,39,670,1055,63.5,8495,45,30,139.5
Terrance Owens,43,669,1061,63.1,8203,63,25,142.9
Clint Marks,41,668,1012,66,7342,37,33,132.5
Bryn Renner,35,668,1005,66.5,8221,64,25,151.2
Jake Rudock,38,666,1080,61.7,7836,54,27,134.1
Drew Tate,39,665,1090,61,8292,61,34,137.1
C.J. Bacher,33,664,1105,60.1,7319,43,43,120.8
Kevin O'Connell,39,664,1151,57.7,7689,46,34,121.1
Drew Olson,45,664,1148,57.8,8532,67,32,134
John Parker Wilson,44,664,1175,56.5,7922,47,30,121.2
Jeff Smoker,39,663,1118,59.3,8556,58,38,133.9
Reggie Ball,49,662,1363,48.6,8128,57,55,104.4
Shea Patterson,36,662,1098,60.3,8800,68,27,143.1
D'Eriq King,48,661,1048,63.1,8378,76,19,150.5
Tim Tebow,55,661,995,66.4,9285,88,16,170.8
Mike Teel,47,661,1142,57.9,9383,59,49,135.4
Matt Johnson,33,655,1002,65.4,8846,73,16,160.4
Kedon Slovis,27,652,953,68.4,7576,58,24,150.2
Ben Chappell,35,651,1066,61.1,7251,45,28,126.9
